area,price,Adress,floor,facade,road_in,car_parking,bedrooms,wc
155 ,70.0,"Phường Trung Hòa, Quận Cầu Giấy",5,6,40,0,5,5
32 ,5.5,"Phường Định Công, Quận Hoàng Mai",6,36,8,0,4,4
87 ,0.0,"Phường Văn Quán, Quận Hà Đông",0,0,0,0,0,0
63 ,10.51,"Phường Quang Trung, Quận Hà Đông",0,0,0,0,0,0
86 ,0.0,"Phường Quang Trung, Quận Hà Đông",0,0,0,0,0,0
50 ,0.0,"Phường La Khê, Quận Hà Đông",0,0,0,0,0,0
50 ,0.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
75 ,0.0,"Phường La Khê, Quận Hà Đông",0,0,0,0,0,0
60 ,12.5,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
55 ,19.5,"Phường Mễ Trì, Quận Nam Từ Liêm",0,0,0,0,0,0
60 ,26.0,"Phường Mộ Lao, Quận Hà Đông",0,0,0,0,0,0
65 ,19.5,"Phường Dương Nội, Quận Hà Đông",6,6,8,2,6,6
100 ,0.0,", Quận Nam Từ Liêm",0,0,0,0,0,0
250 ,0.0,", Quận Hai Bà Trưng",0,0,0,0,0,0
400 ,0.0,", Quận Tây Hồ",0,0,0,0,0,0
185 ,138.0,", Quận Ba Đình",0,0,0,0,0,0
300 ,0.0,", Quận Tây Hồ",0,0,0,0,0,0
1000 ,0.0,", Quận Hoàn Kiếm",0,0,0,0,0,0
145 ,0.0,", Quận Cầu Giấy",0,0,0,0,0,0
140 ,45.0,", Quận Cầu Giấy",0,0,0,0,0,0
250 ,0.0,", Quận Tây Hồ",0,0,0,0,0,0
190 ,75.0,", Quận Tây Hồ",0,0,0,0,0,0
45 ,12.8,", Quận Ba Đình",0,0,0,0,0,0
230 ,0.0,", Quận Hai Bà Trưng",0,0,0,0,0,0
85 ,0.0,", Quận Tây Hồ",0,0,0,0,0,0
190 ,75.0,", Quận Tây Hồ",0,0,0,0,0,0
100 ,0.0,", Quận Đống Đa",0,0,0,0,0,0
700 ,0.0,", Quận Hoàn Kiếm",0,0,0,0,0,0
145 ,55.0,", Quận Ba Đình",0,0,0,0,0,0
70 ,0.0,", Quận Cầu Giấy",0,0,0,0,0,0
100 ,0.0,", Quận Đống Đa",0,0,0,0,0,0
250 ,0.0,", Quận Cầu Giấy",0,0,0,0,0,0
178 ,0.0,", Quận Hoàng Mai",0,0,0,0,0,0
190 ,85.0,", Quận Hai Bà Trưng",0,0,0,0,0,0
85 ,0.0,", Quận Hai Bà Trưng",0,0,0,0,0,0
60 ,0.0,", Quận Ba Đình",0,0,0,0,0,0
40 ,12.8,", Quận Thanh Xuân",0,0,0,0,0,0
155 ,35.0,", Quận Hà Đông",0,0,0,0,0,0
100 ,0.0,", Quận Đống Đa",0,0,0,0,0,0
50 ,20.5,", Quận Tây Hồ",0,0,0,0,0,0
